order_date,day_name,Item Name,total_orders,total_price,avg_price,min_price,total_quantity_sold,total_revenue,avg_revenue
2016-03-19,Saturday,Lamb Tikka Chilli Masala,2,17.9,8.95,8.95,2,17.9,8.95
2016-03-19,Saturday,Chana Masala,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-19,Saturday,Chapati,1,1.95,1.95,1.95,1,1.95,1.95
2016-03-19,Saturday,Chicken Biryani,2,19.9,9.95,9.95,2,19.9,9.95
2016-03-19,Saturday,Chicken Shashlick Curry,2,25.9,12.95,12.95,2,25.9,12.95
2016-03-19,Saturday,Chicken Tikka (Main),1,8.95,8.95,8.95,1,8.95,8.95
2016-03-19,Saturday,Chicken Tikka Biryani,1,10.95,10.95,10.95,1,10.95,10.95
2016-03-19,Saturday,Cauliflower Bhajee,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-19,Saturday,Chicken Tikka Jalfrezi,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-19,Saturday,Chicken Tikka Chilli Masala,2,17.9,8.95,8.95,2,17.9,8.95
2016-03-19,Saturday,Korma Sauce,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-19,Saturday,Korma,4,36.8,9.2,8.95,4,36.8,9.2
2016-03-19,Saturday,Keema Naan,5,14.75,2.95,2.95,6,17.700000000000003,3.54
2016-03-19,Saturday,Garlic Naan,4,11.8,2.95,2.95,5,14.75,3.69
2016-03-19,Saturday,Keema Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-19,Saturday,Curry,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-19,Saturday,Chicken Tikka Pasanda,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-19,Saturday,Chicken Tikka Masala,2,17.9,8.95,8.95,2,17.9,8.95
2016-03-19,Saturday,Dupiaza,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-20,Sunday,Tandoori Chicken (1/4),1,4.95,4.95,4.95,1,4.95,4.95
2016-03-20,Sunday,Onion Bhajee,3,11.850000000000001,3.9500000000000006,3.95,4,15.8,5.27
2016-03-20,Sunday,Madras,1,7.95,7.95,7.95,1,7.95,7.95
2016-03-20,Sunday,Meat Samosa,2,7.9,3.95,3.95,2,7.9,3.95
2016-03-20,Sunday,Mint Sauce,2,1.0,0.5,0.5,3,1.5,0.75
2016-03-20,Sunday,Mushroom Rice,1,3.95,3.95,3.95,1,3.95,3.95
